Date,Close/Last,Volume,Open,High,Low
05/01/2026,$280.14,79915440,$278.855,$287.22,$278.37
04/30/2026,$271.35,91848230,$270.50,$276.00,$268.14
04/29/2026,$270.17,30047870,$267.55,$271.04,$267.04
04/28/2026,$270.71,40018940,$272.335,$273.23,$268.66
04/27/2026,$267.61,41466760,$266.09,$268.36,$265.07
04/24/2026,$271.06,38157110,$272.755,$273.06,$269.65
04/23/2026,$273.43,33399640,$275.045,$275.77,$271.65
04/22/2026,$273.17,43249200,$267.82,$273.74,$266.87
04/21/2026,$266.17,50209760,$271.50,$272.80,$265.40
04/20/2026,$273.05,36590170,$270.33,$274.275,$270.29
04/17/2026,$270.23,61436230,$266.96,$272.30,$266.72
04/16/2026,$263.40,43323110,$266.80,$267.16,$261.27
04/15/2026,$266.43,49913510,$258.16,$266.56,$257.81
04/14/2026,$258.83,48370710,$259.245,$261.93,$257.19
04/13/2026,$259.20,36234700,$259.73,$260.18,$256.66
04/10/2026,$260.48,31291470,$259.98,$262.19,$259.0231
04/09/2026,$260.49,28121570,$259.00,$261.12,$256.07
04/08/2026,$258.90,41032770,$258.45,$259.7499,$256.53
04/07/2026,$253.50,62148010,$256.155,$256.20,$245.70
04/06/2026,$258.86,29329910,$256.51,$262.16,$256.46
04/02/2026,$255.92,31289370,$254.20,$256.13,$250.65
